,S_0,S_1,E_0,E_1,I_0_AS,I_0_GP,I_0_H,I_0_ICU,I_1_AS,I_1_GP,I_1_H,I_1_ICU,R_0_AS,R_0_GP,R_0_H,R_0_ICU,R_1_AS,R_1_GP,R_1_H,R_1_ICU,D_0_AS,D_0_GP,D_0_H,D_0_ICU,D_1_AS,D_1_GP,D_1_H,D_1_ICU
3862,11374650.062298475,0.0,2999065.367451847,0.0,3485593.9480323098,561632.6771673888,179843.52972976095,15687.023465689801,0.0,0.0,0.0,0.0,5760851.555124912,5161457.444209662,433753.61929616437,15914.924925189556,0.0,0.0,0.0,0.0,0.0,10343.602092604537,1216.944022073407,89.30218394895944,0.0,0.0,0.0,0.0
3863,11358744.800025444,0.0,2996980.6874395693,0.0,3486860.050647598,561415.790670746,179931.87352114407,15707.234011261871,0.0,0.0,0.0,0.0,5770170.223289362,5168182.933013248,434492.32253459375,15948.497716462189,0.0,0.0,0.0,0.0,0.0,10357.080026078658,1219.016536169201,89.49056834888604,0.0,0.0,0.0,0.0
3864,11342862.008697864,0.0,2994886.0756403343,0.0,3488115.1845039795,561196.7658270436,180019.64234879476,15727.427526062404,0.0,0.0,0.0,0.0,5779492.261073109,5174905.8113061935,435231.38737304165,15982.11371556465,0.0,0.0,0.0,0.0,0.0,10370.552728068527,1221.0900647740648,89.67919519755716,0.0,0.0,0.0,0.0
3865,11327001.711356327,0.0,2992781.5685013514,0.0,3489359.3438937394,560975.607040743,180106.83553242212,15747.603874261207,0.0,0.0,0.0,0.0,5788817.639149536,5181626.053503785,435970.81144908164,16015.772885926854,0.0,0.0,0.0,0.0,0.0,10384.020147302179,1223.1646012599483,89.86806428976992,0.0,0.0,0.0,0.0
3866,11311163.93073026,0.0,2990667.202561869,0.0,3490592.5232559023,560752.3187454535,180193.4523996952,15767.762920118064,0.0,0.0,0.0,0.0,5798146.328177104,5188343.634074391,436710.5923975205,16049.475190688236,0.0,0.0,0.0,0.0,0.0,10397.482232614013,1225.2401389910394,90.05717541869151,0.0,0.0,0.0,0.0
3867,11295348.689238556,0.0,2988543.014451911,0.0,3491814.7171761612,560526.9054037584,180279.49228625247,15787.90452798507,0.0,0.0,0.0,0.0,5807478.298799783,5195058.527539842,437450.7278504348,16083.220592698062,0.0,0.0,0.0,0.0,0.0,10410.938932945579,1227.3166713238652,90.24652837586088,0.0,0.0,0.0,0.0
3868,11279556.0089903,0.0,2986409.0408910243,0.0,3493025.9203867954,560299.3715070405,180364.9545357106,15808.028562308866,0.0,0.0,0.0,0.0,5816813.521647441,5201770.708475782,438191.2154372029,16117.009054515549,0.0,0.0,0.0,0.0,0.0,10424.39019734626,1229.394191607383,90.43612295118946,0.0,0.0,0.0,0.0
3869,11263785.911785481,0.0,2984265.318687015,0.0,3494226.1277665882,560069.7215753065,180449.8384996733,15828.134887632927,0.0,0.0,0.0,0.0,5826151.967336258,5208480.151512031,438932.0527845396,16150.840538410082,0.0,0.0,0.0,0.0,0.0,10437.835974974014,1231.472693183077,90.62595893296239,0.0,0.0,0.0,0.0
3870,11248038.419115687,0.0,2982111.8847346827,0.0,3495415.334340743,559837.9601570102,180534.14353774005,15848.223368599853,0.0,0.0,0.0,0.0,5835493.606469132,5215186.831332952,439673.2375165302,16184.715006361444,0.0,0.0,0.0,0.0,0.0,10451.276215096099,1233.5521693850546,90.81603610783978,0.0,0.0,0.0,0.0
3871,11232313.552164862,0.0,2979948.776014559,0.0,3496593.5352807855,559604.0918288748,180617.86901751396,15868.293869953613,0.0,0.0,0.0,0.0,5844838.409636074,5221890.722677791,440414.76725466346,16218.632420059961,0.0,0.0,0.0,0.0,0.0,10464.710867089763,1235.632613540138,91.0063542608575,0.0,0.0,0.0,0.0
